customer_id,txn_date,txn_type,txn_amount
429,2020-01-21T00:00:00.000Z,deposit,82
155,2020-01-10T00:00:00.000Z,deposit,712
398,2020-01-01T00:00:00.000Z,deposit,196
255,2020-01-14T00:00:00.000Z,deposit,563
185,2020-01-29T00:00:00.000Z,deposit,626
309,2020-01-13T00:00:00.000Z,deposit,995
312,2020-01-20T00:00:00.000Z,deposit,485
376,2020-01-03T00:00:00.000Z,deposit,706
188,2020-01-13T00:00:00.000Z,deposit,601
138,2020-01-11T00:00:00.000Z,deposit,520
373,2020-01-18T00:00:00.000Z,deposit,596
361,2020-01-12T00:00:00.000Z,deposit,797
169,2020-01-10T00:00:00.000Z,deposit,628
402,2020-01-05T00:00:00.000Z,deposit,435
60,2020-01-19T00:00:00.000Z,deposit,495
378,2020-01-07T00:00:00.000Z,deposit,193
383,2020-01-26T00:00:00.000Z,deposit,889
292,2020-01-10T00:00:00.000Z,deposit,136
63,2020-01-06T00:00:00.000Z,deposit,234
499,2020-01-02T00:00:00.000Z,deposit,147
130,2020-01-02T00:00:00.000Z,deposit,557
441,2020-01-12T00:00:00.000Z,deposit,418
53,2020-01-24T00:00:00.000Z,deposit,22
30,2020-01-26T00:00:00.000Z,deposit,33
305,2020-01-09T00:00:00.000Z,deposit,36
136,2020-01-11T00:00:00.000Z,deposit,882
276,2020-01-07T00:00:00.000Z,deposit,926
410,2020-01-07T00:00:00.000Z,deposit,601
152,2020-01-01T00:00:00.000Z,deposit,917
123,2020-01-16T00:00:00.000Z,deposit,423
17,2020-01-19T00:00:00.000Z,deposit,465
472,2020-01-18T00:00:00.000Z,deposit,495
100,2020-01-06T00:00:00.000Z,deposit,158
56,2020-01-18T00:00:00.000Z,deposit,864
455,2020-01-07T00:00:00.000Z,deposit,329
357,2020-01-20T00:00:00.000Z,deposit,780
480,2020-01-29T00:00:00.000Z,deposit,522
168,2020-01-13T00:00:00.000Z,deposit,114
369,2020-01-25T00:00:00.000Z,deposit,376
338,2020-01-17T00:00:00.000Z,deposit,628
296,2020-01-13T00:00:00.000Z,deposit,846
374,2020-01-08T00:00:00.000Z,deposit,117
194,2020-01-28T00:00:00.000Z,deposit,137
135,2020-01-09T00:00:00.000Z,deposit,949
21,2020-01-12T00:00:00.000Z,deposit,28
69,2020-01-10T00:00:00.000Z,deposit,124
32,2020-01-12T00:00:00.000Z,deposit,812
206,2020-01-09T00:00:00.000Z,deposit,811
269,2020-01-14T00:00:00.000Z,deposit,654
460,2020-01-29T00:00:00.000Z,deposit,80
328,2020-01-22T00:00:00.000Z,deposit,393
407,2020-01-14T00:00:00.000Z,deposit,804
351,2020-01-03T00:00:00.000Z,deposit,951
458,2020-01-04T00:00:00.000Z,deposit,715
339,2020-01-10T00:00:00.000Z,deposit,167
496,2020-01-06T00:00:00.000Z,deposit,47
291,2020-01-20T00:00:00.000Z,deposit,930
50,2020-01-29T00:00:00.000Z,deposit,899
265,2020-01-08T00:00:00.000Z,deposit,699
266,2020-01-17T00:00:00.000Z,deposit,651
93,2020-01-11T00:00:00.000Z,deposit,557
1,2020-01-02T00:00:00.000Z,deposit,312
267,2020-01-19T00:00:00.000Z,deposit,31
366,2020-01-21T00:00:00.000Z,deposit,965
92,2020-01-05T00:00:00.000Z,deposit,985
89,2020-01-25T00:00:00.000Z,deposit,210
129,2020-01-12T00:00:00.000Z,deposit,568
198,2020-01-17T00:00:00.000Z,deposit,571
26,2020-01-17T00:00:00.000Z,deposit,878
104,2020-01-25T00:00:00.000Z,deposit,989
466,2020-01-17T00:00:00.000Z,deposit,80
454,2020-01-08T00:00:00.000Z,deposit,603
117,2020-01-15T00:00:00.000Z,deposit,5
46,2020-01-23T00:00:00.000Z,deposit,356
96,2020-01-03T00:00:00.000Z,deposit,753
199,2020-01-20T00:00:00.000Z,deposit,530
55,2020-01-25T00:00:00.000Z,deposit,380
443,2020-01-28T00:00:00.000Z,deposit,760
317,2020-01-11T00:00:00.000Z,deposit,869
52,2020-01-12T00:00:00.000Z,deposit,908
