customer_id,region_id,node_id,start_date,end_date
1,3,4,2020-01-02T00:00:00.000Z,2020-01-03T00:00:00.000Z
2,3,5,2020-01-03T00:00:00.000Z,2020-01-17T00:00:00.000Z
3,5,4,2020-01-27T00:00:00.000Z,2020-02-18T00:00:00.000Z
4,5,4,2020-01-07T00:00:00.000Z,2020-01-19T00:00:00.000Z
5,3,3,2020-01-15T00:00:00.000Z,2020-01-23T00:00:00.000Z
6,1,1,2020-01-11T00:00:00.000Z,2020-02-06T00:00:00.000Z
7,2,5,2020-01-20T00:00:00.000Z,2020-02-04T00:00:00.000Z
8,1,2,2020-01-15T00:00:00.000Z,2020-01-28T00:00:00.000Z
9,4,5,2020-01-21T00:00:00.000Z,2020-01-25T00:00:00.000Z
10,3,4,2020-01-13T00:00:00.000Z,2020-01-14T00:00:00.000Z
11,2,5,2020-01-19T00:00:00.000Z,2020-01-25T00:00:00.000Z
12,1,2,2020-01-13T00:00:00.000Z,2020-01-14T00:00:00.000Z
13,2,3,2020-01-02T00:00:00.000Z,2020-01-14T00:00:00.000Z
14,1,2,2020-01-25T00:00:00.000Z,2020-01-25T00:00:00.000Z
15,1,3,2020-01-25T00:00:00.000Z,2020-02-08T00:00:00.000Z
16,4,4,2020-01-13T00:00:00.000Z,2020-01-18T00:00:00.000Z
17,2,3,2020-01-19T00:00:00.000Z,2020-01-27T00:00:00.000Z
18,1,3,2020-01-17T00:00:00.000Z,2020-02-15T00:00:00.000Z
19,2,2,2020-01-17T00:00:00.000Z,2020-02-06T00:00:00.000Z
20,2,4,2020-01-18T00:00:00.000Z,2020-02-09T00:00:00.000Z
21,3,2,2020-01-12T00:00:00.000Z,2020-01-25T00:00:00.000Z
22,4,3,2020-01-19T00:00:00.000Z,2020-02-18T00:00:00.000Z
23,1,5,2020-01-21T00:00:00.000Z,2020-02-15T00:00:00.000Z
24,2,5,2020-01-26T00:00:00.000Z,2020-02-14T00:00:00.000Z
25,5,1,2020-01-28T00:00:00.000Z,2020-02-10T00:00:00.000Z
26,3,3,2020-01-17T00:00:00.000Z,2020-01-25T00:00:00.000Z
27,4,3,2020-01-01T00:00:00.000Z,2020-01-22T00:00:00.000Z
28,4,2,2020-01-20T00:00:00.000Z,2020-02-13T00:00:00.000Z
29,2,3,2020-01-19T00:00:00.000Z,2020-01-31T00:00:00.000Z
30,2,1,2020-01-26T00:00:00.000Z,2020-02-06T00:00:00.000Z
31,3,2,2020-01-06T00:00:00.000Z,2020-01-13T00:00:00.000Z
32,4,4,2020-01-12T00:00:00.000Z,2020-01-14T00:00:00.000Z
33,3,4,2020-01-24T00:00:00.000Z,2020-02-17T00:00:00.000Z
34,2,3,2020-01-30T00:00:00.000Z,2020-02-18T00:00:00.000Z
35,4,5,2020-01-17T00:00:00.000Z,2020-02-15T00:00:00.000Z
36,2,3,2020-01-30T00:00:00.000Z,2020-02-19T00:00:00.000Z
37,1,3,2020-01-29T00:00:00.000Z,2020-02-04T00:00:00.000Z
38,5,1,2020-01-21T00:00:00.000Z,2020-02-14T00:00:00.000Z
39,5,2,2020-01-22T00:00:00.000Z,2020-01-23T00:00:00.000Z
40,2,1,2020-01-21T00:00:00.000Z,2020-02-17T00:00:00.000Z
41,5,1,2020-01-30T00:00:00.000Z,2020-02-26T00:00:00.000Z
42,4,3,2020-01-11T00:00:00.000Z,2020-01-16T00:00:00.000Z
43,2,2,2020-01-28T00:00:00.000Z,2020-02-25T00:00:00.000Z
44,3,1,2020-01-19T00:00:00.000Z,2020-02-09T00:00:00.000Z
45,2,1,2020-01-14T00:00:00.000Z,2020-02-08T00:00:00.000Z
46,1,4,2020-01-23T00:00:00.000Z,2020-01-26T00:00:00.000Z
47,5,4,2020-01-22T00:00:00.000Z,2020-01-26T00:00:00.000Z
48,5,2,2020-01-01T00:00:00.000Z,2020-01-18T00:00:00.000Z
49,2,5,2020-01-04T00:00:00.000Z,2020-01-09T00:00:00.000Z
50,2,5,2020-01-29T00:00:00.000Z,2020-02-06T00:00:00.000Z
51,1,3,2020-01-20T00:00:00.000Z,2020-02-02T00:00:00.000Z
52,5,2,2020-01-12T00:00:00.000Z,2020-01-26T00:00:00.000Z
53,4,1,2020-01-24T00:00:00.000Z,2020-01-29T00:00:00.000Z
54,4,1,2020-01-09T00:00:00.000Z,2020-01-29T00:00:00.000Z
55,5,5,2020-01-25T00:00:00.000Z,2020-02-07T00:00:00.000Z
56,4,4,2020-01-18T00:00:00.000Z,2020-01-20T00:00:00.000Z
57,5,5,2020-01-06T00:00:00.000Z,2020-01-28T00:00:00.000Z
58,3,2,2020-01-11T00:00:00.000Z,2020-01-31T00:00:00.000Z
59,3,1,2020-01-20T00:00:00.000Z,2020-02-03T00:00:00.000Z
60,5,5,2020-01-19T00:00:00.000Z,2020-01-20T00:00:00.000Z
61,4,5,2020-01-21T00:00:00.000Z,2020-01-26T00:00:00.000Z
62,2,1,2020-01-16T00:00:00.000Z,2020-02-11T00:00:00.000Z
63,1,3,2020-01-06T00:00:00.000Z,2020-02-01T00:00:00.000Z
64,2,3,2020-01-08T00:00:00.000Z,2020-01-24T00:00:00.000Z
65,1,3,2020-01-26T00:00:00.000Z,2020-02-17T00:00:00.000Z
66,1,2,2020-01-16T00:00:00.000Z,2020-02-06T00:00:00.000Z
67,3,3,2020-01-22T00:00:00.000Z,2020-02-14T00:00:00.000Z
68,3,3,2020-01-20T00:00:00.000Z,2020-02-18T00:00:00.000Z
69,1,1,2020-01-10T00:00:00.000Z,2020-02-09T00:00:00.000Z
70,3,3,2020-01-08T00:00:00.000Z,2020-01-22T00:00:00.000Z
71,1,3,2020-01-14T00:00:00.000Z,2020-01-31T00:00:00.000Z
72,3,2,2020-01-20T00:00:00.000Z,2020-02-16T00:00:00.000Z
73,1,1,2020-01-06T00:00:00.000Z,2020-01-24T00:00:00.000Z
74,5,1,2020-01-13T00:00:00.000Z,2020-02-06T00:00:00.000Z
75,4,5,2020-01-22T00:00:00.000Z,2020-01-30T00:00:00.000Z
76,2,1,2020-01-04T00:00:00.000Z,2020-02-03T00:00:00.000Z
77,5,4,2020-01-08T00:00:00.000Z,2020-01-16T00:00:00.000Z
78,5,3,2020-01-28T00:00:00.000Z,2020-01-29T00:00:00.000Z
79,1,5,2020-01-29T00:00:00.000Z,2020-02-05T00:00:00.000Z
80,4,3,2020-01-25T00:00:00.000Z,2020-02-16T00:00:00.000Z
81,1,5,2020-01-25T00:00:00.000Z,2020-02-04T00:00:00.000Z
82,2,5,2020-01-09T00:00:00.000Z,2020-02-01T00:00:00.000Z
83,2,1,2020-01-09T00:00:00.000Z,2020-02-01T00:00:00.000Z
84,1,4,2020-01-23T00:00:00.000Z,2020-02-06T00:00:00.000Z
85,5,5,2020-01-11T00:00:00.000Z,2020-01-26T00:00:00.000Z
86,4,3,2020-01-03T00:00:00.000Z,2020-01-25T00:00:00.000Z
87,2,5,2020-01-13T00:00:00.000Z,2020-02-03T00:00:00.000Z
88,3,2,2020-01-12T00:00:00.000Z,2020-02-03T00:00:00.000Z
89,5,2,2020-01-25T00:00:00.000Z,2020-02-02T00:00:00.000Z
90,4,1,2020-01-19T00:00:00.000Z,2020-02-08T00:00:00.000Z
91,4,3,2020-01-11T00:00:00.000Z,2020-01-21T00:00:00.000Z
92,3,3,2020-01-05T00:00:00.000Z,2020-01-29T00:00:00.000Z
93,4,1,2020-01-11T00:00:00.000Z,2020-01-21T00:00:00.000Z
94,5,2,2020-01-01T00:00:00.000Z,2020-01-25T00:00:00.000Z
95,1,2,2020-01-03T00:00:00.000Z,2020-01-21T00:00:00.000Z
96,3,1,2020-01-03T00:00:00.000Z,2020-01-20T00:00:00.000Z
97,3,4,2020-01-04T00:00:00.000Z,2020-01-30T00:00:00.000Z
98,1,5,2020-01-15T00:00:00.000Z,2020-01-28T00:00:00.000Z
99,2,4,2020-01-08T00:00:00.000Z,2020-01-30T00:00:00.000Z
100,1,3,2020-01-06T00:00:00.000Z,2020-01-15T00:00:00.000Z
101,2,3,2020-01-12T00:00:00.000Z,2020-01-19T00:00:00.000Z
102,1,4,2020-01-26T00:00:00.000Z,2020-01-28T00:00:00.000Z
103,4,1,2020-01-07T00:00:00.000Z,2020-01-20T00:00:00.000Z
104,4,4,2020-01-25T00:00:00.000Z,2020-02-12T00:00:00.000Z
105,1,4,2020-01-07T00:00:00.000Z,2020-01-19T00:00:00.000Z
106,2,5,2020-01-24T00:00:00.000Z,2020-02-21T00:00:00.000Z
107,2,4,2020-01-13T00:00:00.000Z,2020-02-07T00:00:00.000Z
108,1,1,2020-01-30T00:00:00.000Z,2020-02-06T00:00:00.000Z
109,4,5,2020-01-01T00:00:00.000Z,2020-01-31T00:00:00.000Z
110,2,1,2020-01-01T00:00:00.000Z,2020-01-07T00:00:00.000Z
111,4,1,2020-01-28T00:00:00.000Z,2020-02-20T00:00:00.000Z
112,1,1,2020-01-08T00:00:00.000Z,2020-01-28T00:00:00.000Z
113,1,4,2020-01-21T00:00:00.000Z,2020-01-31T00:00:00.000Z
114,1,3,2020-01-19T00:00:00.000Z,2020-01-23T00:00:00.000Z
115,5,2,2020-01-29T00:00:00.000Z,2020-02-26T00:00:00.000Z
116,1,2,2020-01-28T00:00:00.000Z,2020-01-29T00:00:00.000Z
117,5,1,2020-01-15T00:00:00.000Z,2020-01-24T00:00:00.000Z
118,3,2,2020-01-03T00:00:00.000Z,2020-02-01T00:00:00.000Z
119,2,4,2020-01-17T00:00:00.000Z,2020-02-06T00:00:00.000Z
120,1,5,2020-01-23T00:00:00.000Z,2020-02-15T00:00:00.000Z
121,3,3,2020-01-01T00:00:00.000Z,2020-01-23T00:00:00.000Z
122,2,3,2020-01-29T00:00:00.000Z,2020-02-01T00:00:00.000Z
123,4,2,2020-01-16T00:00:00.000Z,2020-01-20T00:00:00.000Z
124,3,3,2020-01-01T00:00:00.000Z,2020-01-04T00:00:00.000Z
125,2,5,2020-01-04T00:00:00.000Z,2020-01-26T00:00:00.000Z
126,4,1,2020-01-21T00:00:00.000Z,2020-02-02T00:00:00.000Z
127,5,3,2020-01-17T00:00:00.000Z,2020-02-15T00:00:00.000Z
128,4,1,2020-01-26T00:00:00.000Z,2020-02-25T00:00:00.000Z
129,3,1,2020-01-12T00:00:00.000Z,2020-02-10T00:00:00.000Z
130,3,4,2020-01-02T00:00:00.000Z,2020-01-21T00:00:00.000Z
131,3,4,2020-01-10T00:00:00.000Z,2020-01-28T00:00:00.000Z
132,4,2,2020-01-10T00:00:00.000Z,2020-01-28T00:00:00.000Z
133,2,1,2020-01-10T00:00:00.000Z,2020-01-17T00:00:00.000Z
134,1,2,2020-01-08T00:00:00.000Z,2020-01-28T00:00:00.000Z
